Name,N,Breakfast,Lunch,Dinner,Snack,R,M,H,P,I,K,C,Other,serving_size,Q,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin, vitamin_a ,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Food 11,11,1,0,0,0,1,1,0,0,0,1,35.5,1,80,1,83.2,2.08,3.12,65.6,37.6,27.92,4.8,0,4.5,1,0.31,0.36,0,0,0.8,6.4,0,0,0,1.38,0.26,0.08,0.8,0.15,0.18,0,13.6,0,0.74,12.8,0.07,248,236,17.52,1.88,15.77,1.21,1.18,1.32,0.19,2.34,0.8,0.89,0.06,1,1.65,1.92,0.6,0.82,0.79,0.81,0.82,0.05,0.54,0.64,0.54,0.08,0,0,0,0.02,0,0,0,2.55,0.8,5.36,0,80.8,0.08,2.49,0,0,57.6
Food 12,12,1,0,0,0,1,1,0,0,0,1,43.6,1,140,1,25.2,0,0,0,16.8,0,0,0,0,0,0.18,0,0,0,1.4,32.2,26.6,15.4,0,0,0.19,0,0,0.78,0.35,0,0,0.2,0.99,0,0,30.8,145.6,1.4,0.04,0,0.25,0,0.25,0.01,0,0,0.12,0.18,0.18,0,0,0.04,0,0,0.29,0,0,0,0,2.09,4.48,0.48,1.41,0.2,0,0.14,0,0.11,3.12,0,0,0,0,0.14,0.77,2.8,0,97.52
Food 13,13,1,0,0,0,1,1,0,0,0,1,35.6,1,110,1,0,0,0,2.2,0,0,6.6,0,0.13,0,0.34,0,1878.8,0,232.1,15.4,0,30.8,0,0,0.47,0,0,16.79,0.55,0,4.4,0.04,1.78,0,1.71,25.3,0,8.14,0,0,0.43,0,0.24,0,0,0,0.05,0.3,0.33,0,0,0.06,0,0,0.44,0,0,0,0,34.34,10.78,0,0.17,0.21,0.25,0.03,0.01,0,1.29,0,0,0,0,0,1.42,3.3,0,110
Food 14,14,1,0,0,0,1,1,0,0,0,1,23.4,1,180,1,469.8,5.94,2.16,153,2602.8,118.98,3.6,0,8.25,1,0.37,0,0,0,0,21.6,0,0,0,1.96,1.24,0,0,0.47,0.59,1.26,5.4,0.2,3.82,16.2,0.04,9,595.8,58.32,4.82,34.2,2.43,6.56,3.89,0.46,5.09,1.65,1.57,0.02,0.15,3.07,3.7,1.39,1.35,1.35,2.13,1.97,0.26,1.58,0.05,1.03,0.18,0,0,0,0.22,0.05,0.07,0.25,5.42,10.52,5.98,4.54,129.6,0,1.94,0,0,110.2
Food 15,15,1,0,0,0,1,1,0,0,0,1,46.5,1,110,1,198,0,0.88,2.2,45.1,0,6.6,0,2.07,0,0.26,0.04,0,46.2,0,4.4,0,18.7,0,0,0.09,0,0,0.18,0.31,0,7.7,0,2.21,7.7,0,18.7,371.8,0.33,0.21,1.79,0.02,0,0.09,0,0.02,0.07,0.25,0,0.19,0.06,0.06,0.26,0.05,0,0.07,0,0,0,0,1.06,0,0,0.11,0.04,0.06,0.04,0,0,1.45,1.36,1.04,0,0,0,0.91,1.1,0,65.08
Food 16,16,1,0,0,0,1,1,0,0,0,1,13.7,1,70,1,158.2,6.23,7.98,1.4,464.8,0,36.4,0,4.7,0.39,0.19,0.99,0,4.9,0,2.1,0,0,0,0,0.16,0,0.7,0.15,0.13,163.24,6.3,0.12,1.41,14,0.09,79.8,171.5,9.31,8.49,17.6,0.92,0,1.34,0.08,0,0.7,0.08,0,0.8,0.43,0.28,0.05,0.53,0.59,0.62,0.07,0,0.06,0.28,55.13,2.1,22.28,0,0.08,0.01,0.02,0,0.04,5.06,7.33,5.28,0.25,49.7,0,0.74,0,0,2.4
Food 17,17,1,0,0,0,1,1,0,0,0,1,45.5,1,170,1,103.7,7.82,8.67,5.1,105.4,0,0,0,0.59,0.11,0.08,0,0,0,0,8.5,0,28.9,0,2.65,0.16,0,0,0.41,0.32,0,8.5,0,3.77,0,0.15,59.5,251.6,1.7,0.31,0,0.06,0,0.11,0.09,0,0,0.23,0.14,0.3,0,0,0.2,0.09,0,0.18,0,0,0,0.22,1.75,6.46,0,0,0.29,0,0.02,0.07,0.22,14.14,0.75,0.15,0,0,0,0.83,0,0,137.85
Food 18,18,1,0,0,0,1,1,0,0,0,1,32.3,1,50,1,2.5,0.05,0,0,86,0,35,0,0.14,0.26,0.23,0.05,641,1,1,0,2.5,85.5,0,0,0.15,5.95,0,0.27,0.18,0,5.5,0.04,1.67,3,0.38,15.5,164,0.7,0.19,0.47,0.09,0.11,0.52,0.09,0.46,0.04,0.04,0.02,0.18,0.05,0.05,0.04,0,0,0.13,0.12,0,0.01,0.08,17.54,0.8,0.13,0.06,0.04,0.07,0.01,0,0,0.4,0,0.04,0,0.5,0,0.8,0,0,48.91
Food 19,19,1,0,0,1,1,1,0,1,0,0,49.8,1,50,1,64.5,0.1,4.2,0,237,0,10.5,0,0.22,0,0.13,0.07,33.5,0,0,11,0,2,0,0,0.1,0,0,0.15,0.1,0,5.5,0.01,1.76,2,0.09,12,93,0.25,0,0.69,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0,0,0,0.01,44.57,1.05,0.88,0.01,0.09,0.08,0,0,0,15.72,0,0.1,0,0,0,0.69,0.5,0,1.46
Food 20,20,1,0,0,1,1,1,0,1,0,0,27.8,1,110,1,380.6,17.16,4.4,8.8,874.5,0,132,1.1,5.93,0.22,2.36,1.06,0,630.3,1.1,20.9,0,11,0,0,0.23,0,0,24.21,0.15,0.22,8.8,0.07,2.32,20.9,0.21,234.3,191.4,31.79,1.64,9.85,0,0.43,0.02,0,3.92,0.04,0.89,0.04,0.1,0.5,0.3,0.06,0.5,0.67,0,0,0,0.05,0.86,44.08,5.94,0.04,0,0.06,0.02,0.09,0,0.02,18.04,7.1,8.78,6.44,18.7,0,2.43,1.1,0,46.86
Food 21,21,1,0,0,0,1,1,0,0,1,0,19.4,1,50,1,254,11.15,0.05,0,159,0,147,137,2.69,0.19,0.12,0.33,0,121,1,0,0,5.5,0,0.01,0.08,0,0,0.62,0.09,0,46,0,3.49,1.5,0.05,148,94.5,14.7,0.49,2.79,0,0,0,0,0,0,0.08,0,0.05,0,0,0.05,0,0,0.03,0,0,0,0,31.96,3,14.47,0,0.02,0,0.02,0.02,0,5.02,0.89,0.04,2.09,0,0,0.56,0,0,2.51
Food 22,22,1,0,0,1,1,1,0,1,0,0,45.4,1,180,1,889.2,28.08,22.32,1.8,1375.2,5.22,133.2,104.4,7.92,0.96,0.62,0.29,10.8,0,3.6,12.6,1.8,0,0,0,0.9,0,0,5.24,1.93,0.18,196.2,0.17,31.14,28.8,2.8,604.8,255.6,23.58,2.86,5.63,0.24,0,0.12,0.28,0.03,0,0.03,0,0.1,0.68,0.06,0,0,0.66,1.57,0,0,0.08,0,141.84,3.78,91.94,0,0.07,0.11,0.16,0.14,0.18,5.89,45.46,11.29,16.75,23.4,0.18,1.1,16.2,72,25.04
Food 23,23,1,0,0,1,1,1,0,1,0,0,32,1,50,1,86.5,3.3,3.5,1,38.5,0,1,0,3.43,0.39,0.11,0.1,33.5,1.5,0.5,0,0,1.5,0,0,0.2,0,0,0.18,0.09,0.05,30.5,0.11,1.26,14,0.52,117.5,105,0.2,0.21,14.63,0.14,0.17,0.04,0,0.53,0.08,0.06,0.04,0.09,0.2,0.31,0.08,0.38,0.34,0.56,0,0,0.35,0.42,30.83,1.15,1.36,0.03,0.04,0.02,0.04,0.01,0,6.54,0.28,0.53,2.89,0,0.05,0.53,0,0,23.97
Food 24,24,1,0,0,0,1,1,0,0,0,1,16.6,1,190,1,161.5,30.02,9.5,108.3,108.3,0,9.5,0,16.86,1.54,0.69,0.05,0,13.3,0,7.6,0,11.4,0,2.36,0.84,1.71,11.4,0.55,0.3,0,9.5,0.37,5.24,34.2,0.01,385.7,499.7,44.27,16.78,50.14,3.12,2.76,4.04,0.62,6.97,2.48,2.15,0.12,2.43,3.81,3.94,1.5,2.27,2.59,2.25,1.98,0.56,1.88,2.63,0.36,0.19,0.06,0,0.13,0,0,0,0.11,21.19,2.18,6.95,0.22,121.6,0.19,2.32,0,0,11.12
Food 25,25,1,0,0,1,1,1,0,1,0,0,47.5,1,170,1,0,1.02,0.68,5.1,379.1,0,204,0,0.1,0.01,0.21,0.05,2903.6,6.8,83.3,37.4,5.1,32.3,0,0.03,0.65,25.33,0,6.31,1.7,0.34,265.2,0.21,6.41,6.8,0.26,164.9,265.2,2.21,0.48,0,0,0,0.03,0.06,0.54,0,0.08,0.07,0.04,0.03,0,0.27,0,0,0,0.18,0,0,0.33,134.3,3.74,4.03,0.15,0.37,0.37,0.14,0,0.07,0.03,0.66,0,0.09,0,0.17,5.25,1.7,0,158.63
Food 26,26,1,0,0,1,1,1,0,1,0,0,38.1,1,80,1,181.6,0.24,0.16,1.6,26.4,0,12,0,0.2,0.04,0.25,0.06,0,0,2.4,0,4,1.6,0,0,0.2,0,0,8.86,0.3,0,19.2,0.02,1.8,0,0.05,23.2,0.8,0.4,0.1,0,0.13,0,0.03,0.03,0,0,0.07,0.03,0.01,0,0,0.04,0,0,0.14,0,0,0,0.01,23.21,5.28,0.06,0,0.04,0.03,0.01,0,0,14.64,0.26,22.88,0,0,0,0.06,0,0,66.98
Food 27,27,1,0,0,1,1,1,0,1,0,0,45.2,1,160,1,25.6,22.08,15.36,24,716.8,0,8,0,3.94,0,0.22,0.72,0,8,0,0,4.8,8,0,0,0.25,0,0,1.58,0.45,0,75.2,0,3.44,4.8,0.09,20.8,132.8,0,0,0.66,0,0,0,0,0,0,0,0.08,0.11,0,0,0,0,0,0.03,0,0,0,0,134.54,37.76,36.83,0,0.08,0,0,0,0,1.55,1.04,10.07,0,0,0.16,0.91,25.6,0,114.94
Food 28,28,1,0,0,0,1,1,0,0,1,0,33.2,1,140,1,0,0,0,4.2,0,0,65.8,0,0,0.36,0.56,0,583.8,18.2,5.6,58.8,0,373.8,0,0,0.84,69.02,0,3.01,0.81,0,278.6,0.51,6.61,0,0.87,266,413,11.48,0.28,0,0.53,0.11,0.63,0.45,0.62,0.14,0.42,0.34,0.7,0,0.21,0.6,0.28,0,0.53,0.29,0,0,0.51,48.03,5.6,1.6,1.74,0.36,0.41,0.06,0,0,2.6,0,0.17,0,0,0,0.74,65.8,0,140
Food 29,29,1,0,0,1,1,1,0,1,0,0,19.1,1,70,1,177.8,10.29,2.17,0,37.1,0,2.8,0,2.38,0.9,0.12,0.49,386.4,0,0,4.9,0,0.7,0,0.03,0.13,0,0,0.11,0.11,0.28,378,1.18,2.12,12.6,0,134.4,102.2,0.49,6.53,4.55,0.46,0.2,0,0.1,0.41,0.75,0.06,0.01,0.79,1.16,1.16,0.04,0,0.36,0.58,0,0.01,0.03,0.48,57.2,0.98,0,0,0,0.03,0,0,4.58,6.27,0.65,6.12,1.87,0,0,1.9,0,0,10.11
Food 30,30,1,0,0,1,1,1,0,1,0,0,33.1,1,170,1,413.1,39.78,12.41,158.1,919.7,0.34,5.1,0,0.65,1.24,1.59,0.19,0,1.7,0,11.9,0,17,0,0.02,1.05,0,0,0.41,0.65,0,18.7,0.01,16.41,23.8,0,22.1,515.1,74.12,2.16,41.48,0.1,1.93,0.04,0.23,0.05,3.35,0.05,0.02,0.2,0.66,0.79,0,0,1.13,0.16,0,0,1.21,0,95.22,2.55,104.5,0.05,0,0.02,0.14,0.1,0,47.5,16.98,6.72,1.68,119,0.17,3.98,0,0,97.82
Food 31,31,1,0,0,0,1,1,0,0,1,0,38.8,1,100,1,95,26.5,8.5,85,689,0,1,0,0.21,0.25,0.2,0.06,0,5,1,7,0,0,0,0,0.16,0,0,0.2,0.22,0.4,141,0.05,2.74,19,0,237,247,0,0.46,20.87,0,0,2.25,0.23,0,0.8,0.74,0,0.17,0,0.01,0.5,0.01,1.09,1.04,0,0,0,0.59,75.82,0.2,0,0.04,0,0.07,0,0,0.08,8.81,1.61,44.34,0,75,0,1.15,0,0,71.95
Food 32,32,1,0,0,1,1,1,0,1,0,0,32.8,1,120,1,50.4,11.04,6.48,45.6,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.22,0,0,0,0.55,0,0,0,7.2,0.12,0,0,0,0,0,0,0,0,0.03,0.05,0,0,0,0,0,0,0.13,0,0,0,0,2.28,0.36,0,0,0.1,0.14,0.07,0,0,36.95,13.94,0.18,0,9.6,0,0.02,1.2,0,81.47
Food 33,33,1,0,0,0,1,1,0,0,1,0,21.2,1,100,1,395,11.1,7.3,1,608,0,150,0,4.13,0.06,0.19,0.1,0,0,1,0,0,11,0,0,0.22,0.1,0,0.31,0.23,5.3,91,0.04,0.84,11,0.06,13,168,30.5,0.71,7.13,0.18,0.43,0.36,0.17,0,0.1,0.1,0,0.07,0.06,0,0,0,0,0.11,0,0,0.06,0.04,21.46,0.2,1.43,0.77,0.02,0.13,0.08,0,0,3.78,3.39,0.19,0.65,0,0.1,1.01,22,0,43.17
Food 34,34,1,0,0,1,1,1,0,1,0,0,15.4,1,70,1,333.2,12.53,4.83,13.3,468.3,46.9,1.4,0,3.29,0.44,0.14,0.32,44268,0.7,0,1.4,0,3.5,0,0.04,0.13,0,0,0.2,0.79,1.75,99.4,0.03,11.84,11.2,0.02,135.8,291.9,0.21,1.6,10.92,0.73,0.38,0.05,0.13,0,0,0.64,0.05,0.75,1.19,0.42,0.09,0.57,0.58,0.06,0.07,0.04,0,0.38,12.52,0,0,0,0,0.05,0.04,0,0.01,10.28,0.51,0.81,1.49,37.1,0.07,2.24,0,0,23.3
Food 35,35,1,0,0,1,1,1,0,1,0,0,40.6,1,70,1,47.6,0.42,0,0.7,6.3,0,0,0,0.09,0,0,0,0,0,0.7,12.6,0,4.9,0,0,0.19,0,0,0.2,0.25,0,0,0.04,0.67,0.7,0,11.9,114.1,0.91,0,0,0.12,0,0,0,0,0,0.08,0,0.06,0,0.02,0.12,0,0,0.18,0.15,0,0,0,0.71,0,0,0.02,0.03,0.06,0.07,0,0,58.45,0.04,0.01,0,0,0,1.14,0.7,0,56.81
Food 36,36,1,0,0,1,1,1,0,0,1,0,45.6,1,50,1,15,0.05,0.1,0,281,0,0,0,0.03,0,0.03,0.03,31620,12.5,0,0.5,0,8.5,0,0,0.07,5.15,0,0.12,0.12,0,2.5,0,0.56,4.5,0.02,45,30,0,0.06,0.11,0,0,0.05,0,0,0,0.01,0,0.11,0,0,0,0,0,0.1,0.12,0,0.01,0.06,31.61,0.65,1.82,0.02,0.01,0.02,0,0,0,13.2,0.18,0,0,0,0,0.51,11,0,38.15
Food 37,37,1,0,0,0,1,1,0,0,0,1,44,1,110,1,154,19.69,3.08,85.8,3384.7,0.77,47.3,0,4.98,0.96,0.33,0.38,73.7,4.4,1.1,4.4,0,3.3,0,8.75,0.45,0.33,0,0.3,0.2,0.55,1558.7,0.16,2.32,19.8,0.18,336.6,354.2,40.92,1.22,46.45,1.4,1.47,6.14,0.28,1.65,2.39,1.05,0.15,1.31,1.85,2.17,0.16,0.86,0.84,1.12,1.37,0.22,0.99,1.38,26.51,0,0,0,0.01,0.03,0,0.48,0,14.14,1.51,1.5,0.41,96.8,0,1.36,1.1,0,43.3
Food 38,38,1,0,0,0,1,1,0,0,0,1,25.2,1,50,1,35.5,9.05,1.1,35,48,0,4,0,3.85,0.4,0.18,0.26,23,23,0,7,0,3.5,0,0.61,0.26,0,1,0.12,0.13,0.15,6.5,0.09,1.27,12.5,0.02,116,160.5,21.85,1.42,13.56,0.83,1.1,1.42,0.21,1.97,0.66,0.49,0.03,0.75,1.18,1.21,0.44,0.54,0.59,0.53,0.48,0.18,0.49,0.77,0.51,0,0,0,0.03,0.07,0.02,0,0.01,4.57,0.51,4.25,0.1,46.5,0.05,0.57,0,0,36.64
Food 39,39,1,0,0,1,1,1,0,0,1,0,17.7,1,190,1,655.5,44.84,20.9,1.9,1295.8,0,41.8,0,7.22,0.42,0.51,0.75,0,121.6,0,5.7,0,11.4,0,0,1.09,0,0,2.24,0.44,2.85,205.2,0.3,5.07,26.6,0,201.4,294.5,0.38,2.13,5.32,0.24,0.02,0.22,0,0,0,0,0.12,0.36,0,0.29,0.07,0.23,0,0.08,0,0,0.02,0.22,17.18,3.04,38.95,0,0.19,0.08,11.82,0,0,26.81,23.82,10.39,1.3,20.9,0.19,1.67,0,0,10.22
Food 40,40,1,0,0,1,1,1,0,0,1,0,24.3,1,50,1,64,3.65,4,56,373,0,3,0,2.03,0.43,0.15,0.2,0,0,0.5,3.5,0,3.5,0,0.71,0.11,0,7.5,0.16,0.07,0.1,121.5,0.07,5.22,9.5,0.09,213,271,15.6,2.67,10.72,0.72,0.73,1.23,0.12,1.54,0.46,0.41,0,0.55,0.82,0.87,0.41,0.4,0.41,0.52,0.41,0.11,0.44,0.59,31.33,0,0.03,0.01,0,0,0,0.02,0.02,3.17,0.52,1.48,1.2,29,0,1.03,0.5,0,21.32
Food 41,41,1,0,0,0,1,1,1,0,0,1,34.9,1,80,13,80,2.24,2,0,247.2,0,32.8,0,0.41,0.17,0.11,0.1,0,0,0,1.6,0,0.8,0,0,0.27,0.16,24.8,0.04,0,0,93.6,0,2.59,1.6,0.06,468,96,0.64,0.24,4.84,0.03,0.07,0.09,0.12,0.02,0,0.13,0.04,0.13,0.01,0.06,0.1,0,0.05,0.75,0.02,0,0.04,0.08,0.91,1.52,20.78,0.03,0.04,0.03,0,0,0,2.65,0.35,2.83,0,0,0,0.84,0,0,34.42
Food 42,42,1,0,0,1,1,1,1,0,1,0,29.9,1,50,12,199.5,10.6,3,0.5,329.5,0,14.5,29,0.09,0,0.16,0.72,621,2.5,1,4.5,36,37,0,0.06,0,0.1,0,2.2,19.68,6.35,51,0.03,1.01,6.5,1.7,105,73,1.85,0.15,3.89,0,0,0.03,0.03,0,0,0.01,0,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0.03,11.66,0.7,12.71,0.03,0.06,0,0,0,0.03,2.45,2.92,22.8,0.11,0,0,0.43,0.5,46.5,3.05
Food 43,43,1,0,0,1,1,1,1,0,1,0,15.4,1,160,3,235.2,0.48,5.28,8,94.4,0,0,0,0.55,0,0,0,0,0,3.2,17.6,4.8,0,0,0,0.27,0,0,0.59,0.13,0,0,0.11,0.74,0,0,30.4,0,0.48,0,0,0,0,0,0,0,0,0.28,0.13,0.21,0,0,0.16,0,0,0.12,0,0,0,0,2.82,10.4,0,0,0.21,0.08,0.02,0,0.1,8.35,20.86,0.29,0,0,0.16,2.05,1.6,0,129.46
Food 44,44,1,0,0,1,1,1,1,0,1,0,37.9,1,110,9,53.9,0,0,0,7.7,0,451,0,2.45,0,1.91,0,749.1,102.3,0,22,0,292.6,0,0,0.22,0,0,15.71,0.25,0,163.9,0.19,1.6,0,1.78,31.9,239.8,1.98,0,0,0.39,0,0.29,0.19,0.67,0,0.22,0,0.43,0,0.13,0.21,0.12,0,0.29,0.03,0,0,0.09,45.66,3.85,2.1,0.11,0.1,0.21,0,0,0,1.91,0,0,0,0,0.11,1.76,1.1,0,103.32
Food 45,45,1,0,0,1,1,1,1,0,1,0,17.4,1,70,6,100.8,5.04,1.75,53.9,28,0,3.5,0,4.34,0.64,0.19,0.3,0,0,2.1,0.7,0,0,0,0.05,0.58,0,0,0.22,0.18,0.07,7.7,0.07,1.74,8.4,0.07,161.7,902.3,31.99,4.3,15.34,1.31,0.65,1.93,0.3,2.41,0.91,0.7,0.06,0.96,1.38,1.49,0.58,0.67,0.72,0.97,0.78,0.14,0.71,0.73,0.15,0,0,0,0,0.07,0.01,0,0.03,5.61,3.63,2.53,0.09,56,0,0.69,0,0,37.74
Food 46,46,1,0,0,1,1,1,1,0,1,0,16.3,1,150,7,49.5,2.4,0,4.5,36,0,0,0,0,0,0.25,0,0,0,3,6,0,9,0,0,0.32,0.3,0,0.47,0,0,18,0,4.5,16.5,0.1,10.5,0,0.3,0,0,0,0,0,0.09,0,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,32.42,4.8,6.59,0,0.12,0,0.08,0.08,0,16.31,0.64,0.03,0,94.5,0,1.58,7.5,0,110.49
